 1    81 90 72 
 2    50 123 106 
 3    106 135 50 
 4    86 108 46 
 5    76 128 99 
 6    81 127 90 
 7    86 126 108 
 8    72 90 79 
 9    99 130 76 
 10   99 128 98 
 11   94 125 117 
 12   46 127 86 
 13   117 143 94 
 14   106 123 53 
 15   111 122 54 
 16   104 135 83 
 17   100 121 56 
 18   59 124 119 
 19   76 130 129 
 20   55 126 120 
 21   87 126 86 
 22   111 145 122 
 23   56 144 100 
 24   129 130 103 
 25   83 136 104 
 26   50 135 104 
 27   119 124 95 
 28   126 141 120 
 29   106 113 84 
 30   72 79 71 
 31   77 115 101 
 32   47 110 34 
 33   115 118 82 
 34   85 118 115 
 35   64 68 66 
 36   67 71 65 
 37   6 102 56 
 38   8 45 7 
 39   43 96 9 
 40   11 107 10 
 41   33 54 32 
 42   33 110 54 
 43   36 91 35 
 44   91 92 47 
 45   67 72 71 
 46   80 116 114 
 47   49 107 11 
 48   15 108 55 
 49   17 46 16 
 50   17 89 46 
 51   42 89 18 
 52   20 104 19 
 53   21 50 20 
 54   50 104 20 
 55   24 53 23 
 56   25 105 24 
 57   24 105 53 
 58   48 105 25 
 59   27 57 26 
 60   26 57 48 
 61   28 109 44 
 62   30 51 29 
 63   51 109 29 
 64   42 90 89 
 65   44 59 58 
 66   57 88 48 
 67   105 106 53 
 68   110 111 54 
 69   59 60 58 
 70   61 88 58 
 71   60 63 62 
 72   62 114 61 
 73   114 116 61 
 74   65 114 62 
 75   63 117 64 
 76   79 80 71 
 77   79 83 80 
 78   84 116 80 
 79   91 112 92 
 80   95 111 93 
 81   97 99 98 
 82   105 113 106 
 83   6 56 5 
 84   12 49 11 
 85   34 110 33 
 86   38 97 37 
 87   37 97 41 
 88   39 52 38 
 89   97 98 41 
 90   66 67 65 
 91   9 96 8 
 92   8 96 45 
 93   15 55 14 
 94   37 41 36 
 95   64 66 65 
 96   68 69 66 
 97   68 117 74 
 98   70 75 69 
 99   73 81 72 
 100  7 102 6 
 101  52 99 97 
 102  67 101 73 
 103  68 70 69 
 104  68 74 70 
 105  77 101 69 
 106  70 76 75 
 107  75 78 77 
 108  85 115 77 
 109  82 86 81 
 110  16 108 15 
 111  18 89 17 
 112  28 44 27 
 113  44 57 27 
 114  29 109 28 
 115  35 91 47 
 116  41 91 36 
 117  52 97 38 
 118  41 112 91 
 119  98 112 41 
 120  44 58 57 
 121  44 109 59 
 122  88 113 48 
 123  60 61 58 
 124  60 62 61 
 125  61 116 88 
 126  63 64 62 
 127  66 101 67 
 128  80 114 71 
 129  82 87 86 
 130  93 111 110 
 131  10 107 43 
 132  93 110 47 
 133  52 100 99 
 134  75 77 69 
 135  73 115 82 
 136  101 115 73 
 137  82 118 87 
 138  45 103 102 
 139  92 93 47 
 140  69 101 66 
 141  78 85 77 
 142  92 94 93 
 143  94 95 93 
 144  45 102 7 
 145  10 43 9 
 146  35 47 34 
 147  64 117 68 
 148  67 73 72 
 149  46 108 16 
 150  19 42 18 
 151  26 48 25 
 152  48 113 105 
 153  58 88 57 
 154  64 65 62 
 155  71 114 65 
 156  73 82 81 
 157  83 84 80 
 158  19 104 42 
 159  113 116 84 
 160  88 116 113 
 161  59 119 60 
 162  31 122 30 
 163  40 121 39 
 164  13 120 12 
 165  22 123 21 
 166  52 121 100 
 167  109 124 59 
 168  112 125 92 
 169  86 127 81 
 170  90 127 89 
 171  60 119 63 
 172  74 128 70 
 173  39 121 52 
 174  12 120 49 
 175  21 123 50 
 176  30 122 51 
 177  112 142 125 
 178  76 129 75 
 179  45 134 103 
 180  84 135 106 
 181  104 136 42 
 182  51 124 109 
 183  117 125 74 
 184  94 143 95 
 185  3 140 22 
 186  2 138 13 
 187  5 137 1 
 188  14 138 2 
 189  23 140 3 
 190  4 139 31 
 191  1 137 40 
 192  32 139 4 
 193  102 144 56 
 194  63 143 117 
 195  95 143 119 
 196  92 125 94 
 197  125 142 74 
 198  100 130 99 
 199  108 126 55 
 200  89 127 46 
 201  70 128 76 
 202  95 145 111 
 203  122 145 51 
 204  90 136 79 
 205  103 134 129 
 206  75 129 78 
 207  79 136 83 
 208  78 134 131 
 209  43 133 131 
 210  131 133 85 
 211  43 131 96 
 212  118 133 132 
 213  85 133 118 
 214  78 131 85 
 215  49 132 107 
 216  118 132 87 
 217  132 133 107 
 218  107 133 43 
 219  124 145 95 
 220  131 134 96 
 221  96 134 45 
 222  83 135 84 
 223  42 136 90 
 224  120 141 49 
 225  13 138 120 
 226  40 137 121 
 227  31 139 122 
 228  22 140 123 
 229  54 139 32 
 230  56 137 5 
 231  55 138 14 
 232  53 140 23 
 233  98 142 112 
 234  74 142 128 
 235  103 144 102 
 236  123 140 53 
 237  120 138 55 
 238  122 139 54 
 239  121 137 56 
 240  129 134 78 
 241  119 143 63 
 242  51 145 124 
 243  100 144 130 
 244  130 144 103 
 245  128 142 98
 246  87 141 126
 247  49 141 132
 248  132 141 87
