     1     1     0.000
     1     2     0.000
     2     1     0.000
     2     2     0.000
     3     1     0.000
     3     2     0.000
     4     1     0.000
     4     2     0.000
     5     1     0.000
     5     2     0.000
     6     1     0.000
     6     2     0.000
     7     1     0.000
     7     2     0.000
     8     1     0.000
     8     2     0.000
     9     1     0.000
     9     2     0.000
    10     1     0.000
    10     2     0.000
    11     1     0.000
    11     2     0.000
    12     1     0.000
    12     2     0.000
    13     1     0.000
    13     2     0.000
    14     1     0.000
    14     2     0.000
    15     1     0.000
    15     2     0.000
    16     1     0.000
    16     2     0.000
    17     1     0.000
    17     2     0.000
    18     1     0.000
    18     2     0.000
    19     1     0.000
    19     2     0.000
    20     1     0.000
    20     2     0.000
    21     1     0.000
    21     2     0.000
    22     1     0.000
    22     2     0.000
    32     1     0.000
    32     2     0.000
    33     1     0.000
    33     2     0.000
    53     1     0.000
    53     2     0.000
    54     1     0.000
    54     2     0.000
    64     1     0.000
    64     2     0.000
    65     1     0.000
    65     2     0.000
    85     1     0.000
    85     2     0.000
    86     1     0.000
    86     2     0.000
    96     1     0.000
    96     2     0.000
    97     1     0.000
    97     2     0.000
   117     1     0.000
   117     2     0.000
   118     1     0.000
   118     2     0.000
   128     1     0.000
   128     2     0.000
   129     1     0.000
   129     2     0.000
   149     1     0.000
   149     2     0.000
   150     1     0.000
   150     2     0.000
   160     1     0.000
   160     2     0.000
   161     1     0.000
   161     2     0.000
   181     1     0.000
   181     2     0.000
   182     1     0.000
   182     2     0.000
   192     1     0.000
   192     2     0.000
   193     1     0.000
   193     2     0.000
   213     1     0.000
   213     2     0.000
   214     1     0.000
   214     2     0.000
   224     1     0.000
   224     2     0.000
   225     1     0.000
   225     2     0.000
   245     1     0.000
   245     2     0.000
   246     1     0.000
   246     2     0.000
   256     1     0.000
   256     2     0.000
   257     1     0.000
   257     2     0.000
   277     1     0.000
   277     2     0.000
   278     1     0.000
   278     2     0.000
   288     1     0.000
   288     2     0.000
   289     1     0.000
   289     2     0.000
   309     1     0.000
   309     2     0.000
   310     1     0.000
   310     2     0.000
   320     1     0.000
   320     2     0.000
   321     1     1.000
   321     2     0.000
   322     1     1.000
   322     2     0.000
   323     1     1.000
   323     2     0.000
   324     1     1.000
   324     2     0.000
   325     1     1.000
   325     2     0.000
   326     1     1.000
   326     2     0.000
   327     1     1.000
   327     2     0.000
   328     1     1.000
   328     2     0.000
   329     1     1.000
   329     2     0.000
   330     1     1.000
   330     2     0.000
   331     1     1.000
   331     2     0.000
   331     3     0.000
   332     1     1.000
   332     2     0.000
   333     1     1.000
   333     2     0.000
   334     1     1.000
   334     2     0.000
   335     1     1.000
   335     2     0.000
   336     1     1.000
   336     2     0.000
   337     1     1.000
   337     2     0.000
   338     1     1.000
   338     2     0.000
   339     1     1.000
   339     2     0.000
   340     1     1.000
   340     2     0.000
   341     1     1.000
   341     2     0.000
